Order Channel,Quantity,Unit Price,Customer Type,Category Group,shippingStatus,Category,Delivery Date
Mobile App,1.0,3930.0,General Trade,Food,cancelled,Processed Food,0.03529411764705882
Whatsapp,1.0,14300.0,Wholesale,Food,cancelled,Processed Food,0.03529411764705882
Whatsapp,1.0,4250.0,General Trade,Food,cancelled,Processed Food,0.03529411764705882
Whatsapp,1.0,4600.0,General Trade,Food,cancelled,Processed Food,0.03529411764705882
Whatsapp,1.0,4700.0,General Trade,Food,cancelled,Processed Food,0.03529411764705882
Whatsapp,3.0,4600.0,General Trade,Food,cancelled,Processed Food,0.03529411764705882
Whatsapp,2.0,4250.0,General Trade,Food,cancelled,Processed Food,0.03529411764705882
Whatsapp,2.0,4100.0,General Trade,Food,cancelled,Culinary,0.03529411764705882
Whatsapp,2.0,4600.0,General Trade,Food,cancelled,Processed Food,0.03529411764705882
Whatsapp,10.0,4250.0,General Trade,Food,cancelled,Processed Food,0.03529411764705882
Whatsapp,3.0,4250.0,General Trade,Food,cancelled,Processed Food,0.03529411764705882
Whatsapp,4.0,4100.0,General Trade,Food,cancelled,Culinary,0.03529411764705882
Whatsapp,1.0,10200.0,General Trade,Food,cancelled,Culinary,0.03529411764705882
Whatsapp,1.0,3930.0,General Trade,Food,cancelled,Processed Food,0.03529411764705882
Whatsapp,10.0,14300.0,General Trade,Food,cancelled,Processed Food,0.03529411764705882
Whatsapp,7.0,14300.0,General Trade,Food,cancelled,Processed Food,0.03529411764705882
Whatsapp,1.0,14300.0,General Trade,Food,cancelled,Processed Food,0.03529411764705882
Whatsapp,2.0,6300.0,General Trade,Food,cancelled,Spices,0.03529411764705882
Whatsapp,1.0,10200.0,General Trade,Food,cancelled,Culinary,0.03529411764705882
Web App,20.0,4100.0,Wholesale,Food,cancelled,Culinary,0.03529411764705882
Whatsapp,3.0,2450.0,Wholesale,Home Care,delivered,Household Clean,2020-12-02 10:06:00
Whatsapp,2.0,3000.0,General Trade,Home Care,delivered,Kitchen Supplies,2020-12-02 11:01:00
Whatsapp,3.0,2150.0,General Trade,Home Care,delivered,Household Clean,2020-12-02 12:08:00
Whatsapp,3.0,2250.0,General Trade,Home Care,delivered,Household Clean,2020-12-02 12:08:00
Whatsapp,1.0,2250.0,General Trade,Home Care,delivered,Household Clean,2020-12-02 12:08:00
Mobile App,20.0,2150.0,General Trade,Home Care,delivered,Household Clean,2020-12-02 12:56:00
Whatsapp,1.0,2200.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-02 16:08:00
Whatsapp,1.0,2300.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-02 18:14:00
Whatsapp,1.0,2040.0,General Trade,Home Care,delivered,Household Clean,2020-12-02 18:14:00
Whatsapp,2.0,2150.0,General Trade,Home Care,delivered,Household Clean,2020-12-02 18:14:00
Whatsapp,1.0,2150.0,General Trade,Home Care,delivered,Household Clean,2020-12-02 18:51:00
Whatsapp,1.0,3100.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-02 18:51:00
Whatsapp,3.0,2200.0,General Trade,Home Care,delivered,Household Clean,2020-12-02 22:42:00
Whatsapp,1.0,2150.0,Wholesale,Home Care,delivered,Household Clean,2020-12-03 11:19:00
Whatsapp,1.0,2200.0,Wholesale,Home Care,delivered,Fabric Clean,2020-12-03 11:19:00
Whatsapp,1.0,2250.0,General Trade,Home Care,delivered,Household Clean,2020-12-03 11:58:00
Whatsapp,1.0,2150.0,General Trade,Home Care,delivered,Household Clean,2020-12-03 11:58:00
Whatsapp,1.0,2240.0,General Trade,Home Care,delivered,Household Clean,2020-12-03 11:58:00
Whatsapp,3.0,2200.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-03 12:23:00
Whatsapp,2.0,2150.0,General Trade,Home Care,delivered,Household Clean,2020-12-03 12:41:00
Whatsapp,1.0,2350.0,General Trade,Home Care,delivered,Household Clean,2020-12-03 12:41:00
Mobile App,1.0,2250.0,General Trade,Home Care,delivered,Household Clean,2020-12-03 15:59:00
Whatsapp,1.0,2240.0,General Trade,Home Care,delivered,Household Clean,2020-12-03 16:19:00
Whatsapp,1.0,3280.0,General Trade,Home Care,delivered,Household Clean,2020-12-03 16:19:00
